id,sourceRef,som_bmu_row,som_bmu_col,som_bmu_distance,cluster_size,cluster_avg_reward,reward_avg,reward_count,reward_rank
0b1940ddd359fe52,docs\documents-atlas-index.md#chunk-1286,17,11,0.954428,76,,,0,405
0b197ac0564da942,,18,10,0.911858,57,,,0,406
0b1b94d8a70c6667,,17,8,0.9486,14,,,0,407
0b22808dfa4895d3,,19,10,0.958091,64,,,0,408
0b2a202a7862db48,,16,11,0.961447,26,,,0,409
0b3d4035c13f42a9,,19,1,0.985907,75,,,0,410
0b3e06b7df709019,,16,10,0.958147,101,,,0,411
0b4b5fb9b91b6138,,16,,0.909813,,,,0,412
0b54cf456930ff61,,7,13,0.929671,6,,,0,413
0b556e39187aa0f9,,18,11,0.933258,40,,,0,414
0b57d4e2b7af5a61,,17,,0.904236,,,,0,415
0b592824eff8ce43,,13,9,0.999576,6,,,0,416
0b6f18e01b774039,,17,12,0.967197,7,,,0,417
0b828ed7ecbb8e9c,,13,,0.877156,,,,0,418
0b8543c3e5af12a8,,18,14,0.953026,36,,,0,419
0b8e32b3ba7b6c78,docs\documents-atlas-index.md#chunk-33,19,,0.87634,,,,0,420
0b90d8ac54f4a2ba,,16,16,0.9561,16,,,0,421
0b9a6ca3a285615a,,16,10,0.962603,101,,,0,422
0ba7849b1e2fe689,,,,0.915967,,,,0,423
0bb6c7c98a7ced42,,,16,0.902153,,,,0,424
0bba279ec8fdae34,,9,,1.123939,,,,0,425
0bc10760f886b00f,,1,8,0.890386,11,,,0,426
0bc1ba11eeedc4d5,,12,,1.055438,,,,0,427
0bdfdd8c6d559ba9,docs\documents-atlas-index.md#chunk-560,10,,1.026871,,,,0,428
0bff571c4141bbbb,docs\documents-atlas-index.md#chunk-870,16,19,1.091662,43,,,0,429
0c06c28504615524,,8,17,0.931455,12,,,0,430
0c12489a6026299a,docs\error-analysis-architecture.md#chunk-2,17,15,0.846825,78,,,0,431
0c17bcd2319f5e36,,19,,0.930205,,,,0,432
0c1d8876570418e7,,18,15,0.805177,24,,,0,433
0c2a254764271b21,,19,,0.91371,,,,0,434
0c37f80e768d1d38,,9,17,0.94446,15,,,0,435
0c41077c95a99fcf,docs\documents-atlas-index.md#chunk-524,14,19,0.811219,121,,,0,436
0c426d11fba0868e,docs\documents-atlas-index.md#chunk-618,10,,0.968445,,,,0,437
0c4431d6ae7daa99,,17,8,0.892894,14,,,0,438
